,trial_id,start_time,end_time,trial_type,trial_version,maze_id,success,target_on_time,go_cue_time,move_onset_time,rt,delay,num_targets,target_pos,num_barriers,barrier_pos,active_target,split
16,16,0 days 00:00:47.800000,0 days 00:00:50.581000,4,0,4,True,0 days 00:00:48.699000,0 days 00:00:49.197000,0 days 00:00:49.502000,305,498,1,[[-100   35]],0,[],0,train
17,17,0 days 00:00:50.600000,0 days 00:00:53.631000,7,1,8,True,0 days 00:00:51.425000,0 days 00:00:52.140000,0 days 00:00:52.459000,319,715,1,[[-92  81]],9,"[[-119   48   72    8]
 [ -47   68    9   20]
 [ -36  -85   18   66]
 [-143   11   13   36]
 [ -97  -33   40    6]
 [-146  121    8   29]
 [  75   24   11   55]
 [ 129  101   71   19]
 [ 143  -25   52    6]]",0,train
18,18,0 days 00:00:53.700000,0 days 00:00:56.956000,3,2,3,True,0 days 00:00:54.565000,0 days 00:00:55.497000,0 days 00:00:55.819000,322,932,3,"[[-100   35]
 [ 125  -64]
 [ 104   80]]",9,"[[ 100   38   63   14]
 [-146   90   54   10]
 [  51  105    9   50]
 [  62  -20   19   42]
 [ 179    6   11   45]
 [ -55   35   11   39]
 [ -77   81   16   18]
 [-128  -31   72    8]
 [ -69   -3   19   16]]",1,train
19,19,0 days 00:00:57,0 days 00:01:00.081000,7,0,8,True,0 days 00:00:57.850000,0 days 00:00:58.632000,0 days 00:00:58.931000,299,782,1,[[-92  81]],0,[],0,train
20,20,0 days 00:01:00.100000,0 days 00:01:03.446000,8,2,10,True,0 days 00:01:00.948000,0 days 00:01:01.947000,0 days 00:01:02.341000,394,999,3,"[[-92  81]
 [-91 -70]
 [117  15]]",9,"[[-119   48   72    8]
 [ -47   68    9   20]
 [ -36  -85   18   66]
 [-143   11   13   36]
 [ -97 -121   40    6]
 [ -59  121    8   29]
 [  75   24   11   55]
 [ 129  101   71   19]
 [ 143  -25   52    6]]",1,train
21,21,0 days 00:01:03.500000,0 days 00:01:06.336000,2,1,2,True,0 days 00:01:04.383000,0 days 00:01:04.931000,0 days 00:01:05.227000,296,548,1,[[104  80]],9,"[[ 100   38   63   14]
 [-146   90   54   10]
 [ 155  105    9   50]
 [  62  -20   19   42]
 [  75 -110   11   45]
 [ -55   35   11   39]
 [ -77   81   16   18]
 [-128  -31   72    8]
 [ -69   -3   19   16]]",0,train
22,22,0 days 00:01:06.400000,0 days 00:01:09.221000,6,0,7,True,0 days 00:01:07.294000,0 days 00:01:07.959000,0 days 00:01:08.202000,243,665,1,[[117  15]],0,[],0,train
23,23,0 days 00:01:09.300000,0 days 00:01:12.216000,12,1,77,True,0 days 00:01:10.215000,0 days 00:01:10.697000,0 days 00:01:11.019000,322,482,1,[[-77  82]],9,"[[ -33   47   37    6]
 [ -77   48   61   11]
 [ -64  -22    8   66]
 [ -82 -115    5   40]
 [ 175  107   11   46]
 [  86  -40   20   11]
 [  85  -96    6   59]
 [ 149  -18   51    6]
 [ -76  -29   11   40]]",0,train
24,24,0 days 00:01:12.300000,0 days 00:01:14.456000,3,0,3,True,0 days 00:01:12.983000,0 days 00:01:13.164000,0 days 00:01:13.456000,292,181,1,[[125 -64]],0,[],0,train
25,25,0 days 00:01:14.500000,0 days 00:01:17.911000,12,2,77,True,0 days 00:01:15.412000,0 days 00:01:16.377000,0 days 00:01:16.697000,320,965,3,"[[ 133  -81]
 [-118  -83]
 [ -77   82]]",9,"[[ -33   47   37    6]
 [ -77   48   61   11]
 [ -64  -22    8   66]
 [ -82 -115    5   40]
 [ 175  107   11   46]
 [  86  -40   20   11]
 [  85  -96    6   59]
 [ 149  -18   51    6]
 [ -76  -29   11   40]]",2,val
26,26,0 days 00:01:18,0 days 00:01:20.391000,10,1,75,True,0 days 00:01:18.769000,0 days 00:01:18.950000,0 days 00:01:19.255000,305,181,1,[[133 -81]],9,"[[ -33   47   37    6]
 [ -77   48   61   11]
 [ -64  -22    8   66]
 [ -82 -115    5   40]
 [   0  104   11   46]
 [  86  -40   20   11]
 [  85  -96    6   59]
 [ 149  110   51    6]
 [ -76  -29   11   40]]",0,val
27,27,0 days 00:01:20.500000,0 days 00:01:23.351000,10,2,75,True,0 days 00:01:21.295000,0 days 00:01:21.809000,0 days 00:01:22.175000,366,514,3,"[[ 133  -81]
 [-118  -83]
 [ -77   82]]",9,"[[ -33   47   37    6]
 [ -77   48   61   11]
 [ -64  -22    8   66]
 [ -82 -115    5   40]
 [   0  104   11   46]
 [  86  -40   20   11]
 [  85  -96    6   59]
 [ 149  110   51    6]
 [ -76  -29   11   40]]",0,train
28,28,0 days 00:01:23.400000,0 days 00:01:26.651000,6,2,7,True,0 days 00:01:24.225000,0 days 00:01:25.090000,0 days 00:01:25.438000,348,865,3,"[[-92  81]
 [-91 -70]
 [117  15]]",9,"[[-119   48   72    8]
 [ -47   68    9   20]
 [ -36  -85   18   66]
 [-143   11   13   36]
 [ -97  -33   40    6]
 [ -59  121    8   29]
 [  75   24   11   55]
 [ 129  101   71   19]
 [ 143   60   52    6]]",2,val
29,29,0 days 00:01:26.700000,0 days 00:01:29.526000,10,2,75,True,0 days 00:01:27.540000,0 days 00:01:28.088000,0 days 00:01:28.407000,319,548,3,"[[ 133  -81]
 [-118  -83]
 [ -77   82]]",9,"[[ -33   47   37    6]
 [ -77   48   61   11]
 [ -64  -22    8   66]
 [ -82 -115    5   40]
 [   0  104   11   46]
 [  86  -40   20   11]
 [  85  -96    6   59]
 [ 149  110   51    6]
 [ -76  -29   11   40]]",0,val
30,30,0 days 00:01:29.600000,0 days 00:01:32.481000,11,1,76,True,0 days 00:01:30.277000,0 days 00:01:30.842000,0 days 00:01:31.229000,387,565,1,[[-118  -83]],9,"[[ -33   47   37    6]
 [ -77   48   61   11]
 [ -64  -22    8   66]
 [-188 -115    5   40]
 [   0  104   11   46]
 [  86  -40   20   11]
 [  85  -96    6   59]
 [ 149  -18   51    6]
 [ -76  -29   11   40]]",0,train
31,31,0 days 00:01:32.500000,0 days 00:01:35.161000,4,1,4,True,0 days 00:01:33.211000,0 days 00:01:33.576000,0 days 00:01:33.940000,364,365,1,[[-100   35]],9,"[[ 100   38   63   14]
 [-146   90   54   10]
 [  51  105    9   50]
 [  62  -20   19   42]
 [  75 -110   11   45]
 [ -55   35   11   39]
 [ -77   81   16   18]
 [-128 -144   72    8]
 [ -69   -3   19   16]]",0,train
32,32,0 days 00:01:35.200000,0 days 00:01:38.356000,6,1,7,True,0 days 00:01:35.984000,0 days 00:01:36.849000,0 days 00:01:37.171000,322,865,1,[[117  15]],9,"[[-119   48   72    8]
 [ -47   68    9   20]
 [ -36  -85   18   66]
 [-143   11   13   36]
 [ -97  -33   40    6]
 [ -59  121    8   29]
 [  75   24   11   55]
 [ 129  101   71   19]
 [ 143   60   52    6]]",0,train
33,33,0 days 00:01:38.400000,0 days 00:01:41.296000,6,1,7,True,0 days 00:01:39.156000,0 days 00:01:39.754000,0 days 00:01:40.083000,329,598,1,[[117  15]],9,"[[-119   48   72    8]
 [ -47   68    9   20]
 [ -36  -85   18   66]
 [-143   11   13   36]
 [ -97  -33   40    6]
 [ -59  121    8   29]
 [  75   24   11   55]
 [ 129  101   71   19]
 [ 143   60   52    6]]",0,train
34,34,0 days 00:01:41.400000,0 days 00:01:43.866000,2,1,2,True,0 days 00:01:42.108000,0 days 00:01:42.339000,0 days 00:01:42.718000,379,231,1,[[104  80]],9,"[[ 100   38   63   14]
 [-146   90   54   10]
 [ 155  105    9   50]
 [  62  -20   19   42]
 [  75 -110   11   45]
 [ -55   35   11   39]
 [ -77   81   16   18]
 [-128  -31   72    8]
 [ -69   -3   19   16]]",0,val
35,35,0 days 00:01:43.900000,0 days 00:01:47.056000,6,2,7,True,0 days 00:01:44.777000,0 days 00:01:45.509000,0 days 00:01:45.865000,356,732,3,"[[-92  81]
 [-91 -70]
 [117  15]]",9,"[[-119   48   72    8]
 [ -47   68    9   20]
 [ -36  -85   18   66]
 [-143   11   13   36]
 [ -97  -33   40    6]
 [ -59  121    8   29]
 [  75   24   11   55]
 [ 129  101   71   19]
 [ 143   60   52    6]]",2,train
36,36,0 days 00:01:47.100000,0 days 00:01:49.751000,10,1,75,True,0 days 00:01:47.852000,0 days 00:01:48.400000,0 days 00:01:48.686000,286,548,1,[[133 -81]],9,"[[ -33   47   37    6]
 [ -77   48   61   11]
 [ -64  -22    8   66]
 [ -82 -115    5   40]
 [   0  104   11   46]
 [  86  -40   20   11]
 [  85  -96    6   59]
 [ 149  110   51    6]
 [ -76  -29   11   40]]",0,train
37,37,0 days 00:01:49.800000,0 days 00:01:52.426000,4,0,4,True,0 days 00:01:50.481000,0 days 00:01:51.029000,0 days 00:01:51.333000,304,548,1,[[-100   35]],0,[],0,val
38,38,0 days 00:01:52.500000,0 days 00:01:55.221000,6,0,7,True,0 days 00:01:53.293000,0 days 00:01:53.825000,0 days 00:01:54.184000,359,532,1,[[117  15]],0,[],0,train
39,39,0 days 00:01:55.300000,0 days 00:01:57.651000,3,2,3,True,0 days 00:01:56.067000,0 days 00:01:56.198000,0 days 00:01:56.523000,325,131,3,"[[-100   35]
 [ 125  -64]
 [ 104   80]]",9,"[[ 100   38   63   14]
 [-146   90   54   10]
 [  51  105    9   50]
 [  62  -20   19   42]
 [ 179    6   11   45]
 [ -55   35   11   39]
 [ -77   81   16   18]
 [-128  -31   72    8]
 [ -69   -3   19   16]]",1,train
40,40,0 days 00:01:57.700000,0 days 00:02:00.506000,6,0,7,True,0 days 00:01:58.442000,0 days 00:01:59.224000,0 days 00:01:59.492000,268,782,1,[[117  15]],0,[],0,val
41,41,0 days 00:02:00.600000,0 days 00:02:02.846000,8,0,10,True,0 days 00:02:01.415000,0 days 00:02:01.546000,0 days 00:02:01.867000,321,131,1,[[-91 -70]],0,[],0,val
42,42,0 days 00:02:02.900000,0 days 00:02:05.546000,6,2,7,True,0 days 00:02:03.578000,0 days 00:02:04.109000,0 days 00:02:04.438000,329,531,3,"[[-92  81]
 [-91 -70]
 [117  15]]",9,"[[-119   48   72    8]
 [ -47   68    9   20]
 [ -36  -85   18   66]
 [-143   11   13   36]
 [ -97  -33   40    6]
 [ -59  121    8   29]
 [  75   24   11   55]
 [ 129  101   71   19]
 [ 143   60   52    6]]",2,train
43,43,0 days 00:02:05.600000,0 days 00:02:08.111000,4,0,4,True,0 days 00:02:06.284000,0 days 00:02:06.816000,0 days 00:02:07.111000,295,532,1,[[-100   35]],0,[],0,train
44,44,0 days 00:02:08.200000,0 days 00:02:10.681000,11,1,76,True,0 days 00:02:08.948000,0 days 00:02:08.979000,0 days 00:02:09.551000,572,31,1,[[-118  -83]],9,"[[ -33   47   37    6]
 [ -77   48   61   11]
 [ -64  -22    8   66]
 [-188 -115    5   40]
 [   0  104   11   46]
 [  86  -40   20   11]
 [  85  -96    6   59]
 [ 149  -18   51    6]
 [ -76  -29   11   40]]",0,train
45,45,0 days 00:02:10.700000,0 days 00:02:13.346000,6,2,7,True,0 days 00:02:11.419000,0 days 00:02:11.783000,0 days 00:02:12.178000,395,364,3,"[[-92  81]
 [-91 -70]
 [117  15]]",9,"[[-119   48   72    8]
 [ -47   68    9   20]
 [ -36  -85   18   66]
 [-143   11   13   36]
 [ -97  -33   40    6]
 [ -59  121    8   29]
 [  75   24   11   55]
 [ 129  101   71   19]
 [ 143   60   52    6]]",2,train
46,46,0 days 00:02:13.400000,0 days 00:02:16.621000,10,1,75,True,0 days 00:02:14.295000,0 days 00:02:15.126000,0 days 00:02:15.470000,344,831,1,[[133 -81]],9,"[[ -33   47   37    6]
 [ -77   48   61   11]
 [ -64  -22    8   66]
 [ -82 -115    5   40]
 [   0  104   11   46]
 [  86  -40   20   11]
 [  85  -96    6   59]
 [ 149  110   51    6]
 [ -76  -29   11   40]]",0,train
47,47,0 days 00:02:16.700000,0 days 00:02:20.206000,3,0,3,True,0 days 00:02:17.619000,0 days 00:02:18.451000,0 days 00:02:18.744000,293,832,1,[[125 -64]],0,[],0,val
48,48,0 days 00:02:20.300000,0 days 00:02:23.666000,4,2,4,True,0 days 00:02:21.252000,0 days 00:02:22.117000,0 days 00:02:22.446000,329,865,3,"[[-100   35]
 [ 125  -64]
 [ 104   80]]",9,"[[ 100   38   63   14]
 [-146   90   54   10]
 [  51  105    9   50]
 [  62  -20   19   42]
 [  75 -110   11   45]
 [ -55   35   11   39]
 [ -77   81   16   18]
 [-128 -144   72    8]
 [ -69   -3   19   16]]",0,train
49,49,0 days 00:02:23.700000,0 days 00:02:26.506000,10,0,75,True,0 days 00:02:24.639000,0 days 00:02:25.120000,0 days 00:02:25.464000,344,481,1,[[133 -81]],0,[],0,train
50,50,0 days 00:02:26.600000,0 days 00:02:29.246000,3,0,3,True,0 days 00:02:27.479000,0 days 00:02:27.910000,0 days 00:02:28.199000,289,431,1,[[125 -64]],0,[],0,train
51,51,0 days 00:02:29.300000,0 days 00:02:32.636000,7,2,8,True,0 days 00:02:30.159000,0 days 00:02:31.141000,0 days 00:02:31.431000,290,982,3,"[[-92  81]
 [-91 -70]
 [117  15]]",9,"[[-119   48   72    8]
 [ -47   68    9   20]
 [ -36  -85   18   66]
 [-143   11   13   36]
 [ -97  -33   40    6]
 [-146  121    8   29]
 [  75   24   11   55]
 [ 129  101   71   19]
 [ 143  -25   52    6]]",0,train
52,52,0 days 00:02:32.700000,0 days 00:02:35.366000,12,0,77,True,0 days 00:02:33.463000,0 days 00:02:34.078000,0 days 00:02:34.384000,306,615,1,[[-77  82]],0,[],0,val
53,53,0 days 00:02:35.400000,0 days 00:02:37.796000,12,0,77,True,0 days 00:02:36.150000,0 days 00:02:36.447000,0 days 00:02:36.721000,274,297,1,[[-77  82]],0,[],0,train
54,54,0 days 00:02:37.900000,0 days 00:02:40.711000,7,1,8,True,0 days 00:02:38.619000,0 days 00:02:39.251000,0 days 00:02:39.567000,316,632,1,[[-92  81]],9,"[[-119   48   72    8]
 [ -47   68    9   20]
 [ -36  -85   18   66]
 [-143   11   13   36]
 [ -97  -33   40    6]
 [-146  121    8   29]
 [  75   24   11   55]
 [ 129  101   71   19]
 [ 143  -25   52    6]]",0,val
55,55,0 days 00:02:40.800000,0 days 00:02:43.086000,10,0,75,True,0 days 00:02:41.559000,0 days 00:02:41.774000,0 days 00:02:42.032000,258,215,1,[[133 -81]],0,[],0,val
56,56,0 days 00:02:43.100000,0 days 00:02:46.131000,10,1,75,True,0 days 00:02:43.919000,0 days 00:02:44.684000,0 days 00:02:44.980000,296,765,1,[[133 -81]],9,"[[ -33   47   37    6]
 [ -77   48   61   11]
 [ -64  -22    8   66]
 [ -82 -115    5   40]
 [   0  104   11   46]
 [  86  -40   20   11]
 [  85  -96    6   59]
 [ 149  110   51    6]
 [ -76  -29   11   40]]",0,train
57,57,0 days 00:02:46.200000,0 days 00:02:49.296000,3,2,3,True,0 days 00:02:47.019000,0 days 00:02:47.834000,0 days 00:02:48.185000,351,815,3,"[[-100   35]
 [ 125  -64]
 [ 104   80]]",9,"[[ 100   38   63   14]
 [-146   90   54   10]
 [  51  105    9   50]
 [  62  -20   19   42]
 [ 179    6   11   45]
 [ -55   35   11   39]
 [ -77   81   16   18]
 [-128  -31   72    8]
 [ -69   -3   19   16]]",1,train
58,58,0 days 00:02:49.400000,0 days 00:02:52.186000,3,1,3,True,0 days 00:02:50.264000,0 days 00:02:50.728000,0 days 00:02:51.056000,328,464,1,[[125 -64]],9,"[[ 100   38   63   14]
 [-146   90   54   10]
 [  51  105    9   50]
 [  62  -20   19   42]
 [ 179    6   11   45]
 [ -55   35   11   39]
 [ -77   81   16   18]
 [-128  -31   72    8]
 [ -69   -3   19   16]]",0,train
59,59,0 days 00:02:52.200000,0 days 00:02:55.751000,11,1,76,True,0 days 00:02:53.103000,0 days 00:02:54.068000,0 days 00:02:54.450000,382,965,1,[[-118  -83]],9,"[[ -33   47   37    6]
 [ -77   48   61   11]
 [ -64  -22    8   66]
 [-188 -115    5   40]
 [   0  104   11   46]
 [  86  -40   20   11]
 [  85  -96    6   59]
 [ 149  -18   51    6]
 [ -76  -29   11   40]]",0,train
60,60,0 days 00:02:55.800000,0 days 00:02:58.561000,7,2,8,True,0 days 00:02:56.607000,0 days 00:02:56.655000,0 days 00:02:57.248000,593,48,3,"[[-92  81]
 [-91 -70]
 [117  15]]",9,"[[-119   48   72    8]
 [ -47   68    9   20]
 [ -36  -85   18   66]
 [-143   11   13   36]
 [ -97  -33   40    6]
 [-146  121    8   29]
 [  75   24   11   55]
 [ 129  101   71   19]
 [ 143  -25   52    6]]",0,val
61,61,0 days 00:02:58.600000,0 days 00:03:01.301000,6,0,7,True,0 days 00:02:59.394000,0 days 00:02:59.958000,0 days 00:03:00.224000,266,564,1,[[117  15]],0,[],0,train
62,62,0 days 00:03:01.400000,0 days 00:03:04.321000,2,0,2,True,0 days 00:03:02.100000,0 days 00:03:02.899000,0 days 00:03:03.180000,281,799,1,[[104  80]],0,[],0,train
63,63,0 days 00:03:04.400000,0 days 00:03:07.341000,4,2,4,True,0 days 00:03:05.262000,0 days 00:03:05.860000,0 days 00:03:06.175000,315,598,3,"[[-100   35]
 [ 125  -64]
 [ 104   80]]",9,"[[ 100   38   63   14]
 [-146   90   54   10]
 [  51  105    9   50]
 [  62  -20   19   42]
 [  75 -110   11   45]
 [ -55   35   11   39]
 [ -77   81   16   18]
 [-128 -144   72    8]
 [ -69   -3   19   16]]",0,train
64,64,0 days 00:03:07.400000,0 days 00:03:10.236000,2,1,2,True,0 days 00:03:08.184000,0 days 00:03:08.849000,0 days 00:03:09.132000,283,665,1,[[104  80]],9,"[[ 100   38   63   14]
 [-146   90   54   10]
 [ 155  105    9   50]
 [  62  -20   19   42]
 [  75 -110   11   45]
 [ -55   35   11   39]
 [ -77   81   16   18]
 [-128  -31   72    8]
 [ -69   -3   19   16]]",0,train
65,65,0 days 00:03:10.300000,0 days 00:03:13.651000,12,1,77,True,0 days 00:03:11.196000,0 days 00:03:12.127000,0 days 00:03:12.440000,313,931,1,[[-77  82]],9,"[[ -33   47   37    6]
 [ -77   48   61   11]
 [ -64  -22    8   66]
 [ -82 -115    5   40]
 [ 175  107   11   46]
 [  86  -40   20   11]
 [  85  -96    6   59]
 [ 149  -18   51    6]
 [ -76  -29   11   40]]",0,train
66,66,0 days 00:03:13.700000,0 days 00:03:16.466000,3,0,3,True,0 days 00:03:14.505000,0 days 00:03:15.120000,0 days 00:03:15.404000,284,615,1,[[125 -64]],0,[],0,train
67,67,0 days 00:03:16.500000,0 days 00:03:19.156000,2,2,2,True,0 days 00:03:17.250000,0 days 00:03:17.731000,0 days 00:03:18.052000,321,481,3,"[[-100   35]
 [ 125  -64]
 [ 104   80]]",9,"[[ 100   38   63   14]
 [-146   90   54   10]
 [ 155  105    9   50]
 [  62  -20   19   42]
 [  75 -110   11   45]
 [ -55   35   11   39]
 [ -77   81   16   18]
 [-128  -31   72    8]
 [ -69   -3   19   16]]",2,train
68,68,0 days 00:03:19.200000,0 days 00:03:22.376000,12,1,77,True,0 days 00:03:19.950000,0 days 00:03:20.831000,0 days 00:03:21.149000,318,881,1,[[-77  82]],9,"[[ -33   47   37    6]
 [ -77   48   61   11]
 [ -64  -22    8   66]
 [ -82 -115    5   40]
 [ 175  107   11   46]
 [  86  -40   20   11]
 [  85  -96    6   59]
 [ 149  -18   51    6]
 [ -76  -29   11   40]]",0,val
69,69,0 days 00:03:22.400000,0 days 00:03:25.086000,2,2,2,True,0 days 00:03:23.080000,0 days 00:03:23.594000,0 days 00:03:23.954000,360,514,3,"[[-100   35]
 [ 125  -64]
 [ 104   80]]",9,"[[ 100   38   63   14]
 [-146   90   54   10]
 [ 155  105    9   50]
 [  62  -20   19   42]
 [  75 -110   11   45]
 [ -55   35   11   39]
 [ -77   81   16   18]
 [-128  -31   72    8]
 [ -69   -3   19   16]]",2,train
70,70,0 days 00:03:25.100000,0 days 00:03:28.216000,7,1,8,True,0 days 00:03:26.027000,0 days 00:03:26.692000,0 days 00:03:27.037000,345,665,1,[[-92  81]],9,"[[-119   48   72    8]
 [ -47   68    9   20]
 [ -36  -85   18   66]
 [-143   11   13   36]
 [ -97  -33   40    6]
 [-146  121    8   29]
 [  75   24   11   55]
 [ 129  101   71   19]
 [ 143  -25   52    6]]",0,train
71,71,0 days 00:03:28.300000,0 days 00:03:31.046000,2,1,2,True,0 days 00:03:29.239000,0 days 00:03:29.704000,0 days 00:03:29.981000,277,465,1,[[104  80]],9,"[[ 100   38   63   14]
 [-146   90   54   10]
 [ 155  105    9   50]
 [  62  -20   19   42]
 [  75 -110   11   45]
 [ -55   35   11   39]
 [ -77   81   16   18]
 [-128  -31   72    8]
 [ -69   -3   19   16]]",0,train
72,72,0 days 00:03:31.100000,0 days 00:03:34.101000,11,2,76,True,0 days 00:03:31.879000,0 days 00:03:32.561000,0 days 00:03:32.942000,381,682,3,"[[ 133  -81]
 [-118  -83]
 [ -77   82]]",9,"[[ -33   47   37    6]
 [ -77   48   61   11]
 [ -64  -22    8   66]
 [-188 -115    5   40]
 [   0  104   11   46]
 [  86  -40   20   11]
 [  85  -96    6   59]
 [ 149  -18   51    6]
 [ -76  -29   11   40]]",1,train
73,73,0 days 00:03:34.200000,0 days 00:03:37.281000,11,0,76,True,0 days 00:03:34.929000,0 days 00:03:35.927000,0 days 00:03:36.232000,305,998,1,[[-118  -83]],0,[],0,train
74,74,0 days 00:03:37.300000,0 days 00:03:39.816000,8,0,10,True,0 days 00:03:38.045000,0 days 00:03:38.459000,0 days 00:03:38.801000,342,414,1,[[-91 -70]],0,[],0,train
